unit,name,kind,risk_or_virtue_consistency,risk_or_virtue_consistency_score,risk_virtue_predominance,risk_virtue_generality,risk_virtue_company_consistency,companies,distinct_documents
item,Bio High-Threshold Conversations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biological Risks,risk,Inconsistent,0.2847,0.2279,0.1766,0.4494,2,7
item,Biological and Chemical,risk,Consistent,0.4902,0.4191,0.4703,0.5812,2,20
item,Biological And Chemical Capabilities And Safeguards,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Chemical And Biological Weapons,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Biological Misuse Jailbreaks,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biological Refusals,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Biological Threat Bottlenecks,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Biological Threat Reproduction,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biological Threat Taxonomy,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biological Weapons,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biological Weaponization,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Biology,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Biosecurity Risks,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Biosecurity Knowledge,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Bioweapons,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Bioweaponization,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Blacklisted Resources Use,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Blackmail,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Business Risk,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Capability And Safety Improvement,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Capability Evaluations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Capability-Demonstration Gap,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Catastrophic Risks,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Catastrophic Harm Prevention,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Causing Harm,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,CBRNE,risk,Inconsistent,0.2775,0.1544,0.3974,0.2806,2,2
item,CBRNE Helpfulness,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Centralized Monitoring Control,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Chain-of-Thought Control,virtue,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Chain-of-Thought Faithfulness,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Chain-of-Thought Monitoring,virtue,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Cheating,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,CBRN,risk,Inconsistent,0.3851,0.4412,0.3012,0.413,4,13
item,CBRN Capabilities And Safeguards,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,CBRN Evaluations,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,CBRN Knowledge,risk,Inconsistent,0.1692,0.0919,0.2,0.2157,1,2
item,CBRN Proliferation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,CBRN Weapons,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,CBRN Weapons Development,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Chemical Bottlenecks,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Chemical Expertise,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Chemical Weapons,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Chemical/Biological Knowledge,risk,Inconsistent,0.2695,0.0919,0.2,0.5167,1,2
item,Child Safety,risk,Inconsistent,0.4077,0.4706,0.2736,0.4789,4,15
item,Child Sexual Abuse,risk,Consistent,0.4686,0.7132,0.2697,0.4228,6,23
item,CSAM Filtering,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,CSAM Prompt Optimization,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Child Sexual Exploitation,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Children’s Data Training,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Children's Personal Data,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Civic Process Manipulation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Code Sabotage,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Code Vulnerabilities,risk,Inconsistent,0.2945,0.0919,0.2,0.5917,1,2
item,Coding Helpfulness,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Coding Model Security,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Coherence,virtue,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Coherent Scheming,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Communications Surveillance,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Compliance,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Concealing Unsafe Behavior,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Concerning Behavior,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Confabulation,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Constraint Bypassing,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Content Safety,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Content Moderation,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Content Policy Violations,risk,Inconsistent,0.1608,0.1544,0.2,0.1279,2,2
item,Content Provenance,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Content Safety Policies,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Contextual Privacy,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Contrary Medical Advice,risk,Inconsistent,0.1992,0.0919,0.2,0.3057,1,2
item,Control in Autonomous Settings,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Controversial Questions,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Conversation Data Training,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Convincing Deepfakes,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Copyright And Trademark Infringement,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Copyright Balance,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Copyright Infringement,risk,Inconsistent,0.1585,0.1544,0.1195,0.2014,2,2
item,Correct Code Generation,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Correcting Users Honestly,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Correlated Errors,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Counterfactual Bias,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Covert Actions,risk,Inconsistent,0.1942,0.1213,0.2,0.2614,1,4
item,Covert Deception,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Covert Encoding,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Covert Influence,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Credential Leaks,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Criminal Advice,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Criminal Offences,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Critical Capability Misuse,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Critical Infrastructure Attacks,risk,Inconsistent,0.2249,0.1691,0.1224,0.3833,2,3
item,Cruel Insults,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Custom Developer Message Jailbreaks,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cyber Capabilities,risk,Inconsistent,0.2885,0.4301,0.1324,0.3031,5,8
item,Cyber Agents,risk,Inconsistent,0.2695,0.0919,0.2,0.5167,1,2
item,Cyber Attack Enablement,risk,Inconsistent,0.2092,0.1544,0.1927,0.2806,2,2
item,Cyber Autonomy Level 1,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Cyber Evaluations,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Cyber Exploitation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cyber Knowledge,risk,Inconsistent,0.2695,0.0919,0.2,0.5167,1,2
item,Cyber Operations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cyber Ranges,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Cyber Uplift Automation,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Cyber Weapons,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Cyberattack Assistance,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,CyberGym,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Cybersecurity,risk,Consistent,0.5208,0.7206,0.2474,0.5945,4,32
item,Cybersecurity Assistance,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cybersecurity Capabilities Increase,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cybersecurity Taxonomy,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Cyberweapon Creation,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Dangerous Capabilities,risk,Inconsistent,0.2551,0.1066,0.2,0.4586,1,3
item,Dangerous Activities,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Dangerous Advice,risk,Inconsistent,0.1171,0.1544,0.069,0.1279,2,2
item,Dangerous Images,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Dangerous Planning,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Dangerous Purposes,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Dangerous Substances,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Data Cleaning,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Data Destruction,risk,Inconsistent,0.1801,0.1066,0.2,0.2335,1,3
item,Data Exfiltration,risk,Inconsistent,0.1635,0.1691,0.1421,0.1793,2,3
item,Data Filtering,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Data Memorization,risk,Inconsistent,0.1159,0.1544,0.0654,0.1279,2,2
item,Data Poisoning,risk,Inconsistent,0.1706,0.1691,0.1633,0.1793,2,3
item,Data Quality Issues,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Deception,risk,Inconsistent,0.3381,0.4706,0.0666,0.4772,4,15
item,Deception And Sabotage,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Deception by Omission,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Deception of Others,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Deceptive Behavior,risk,Inconsistent,0.214,0.1838,0.1372,0.3209,2,4
item,Deceptive Alignment,risk,Inconsistent,0.1856,0.1985,0.1361,0.2221,2,5
item,Deceptive Chain Monitoring,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Deceptive Likeness Misuse,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Deceptive Reasoning,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Deepfakes,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Delusion Encouragement,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Demographic Bias,risk,Inconsistent,0.1659,0.0919,0.2,0.2057,1,2
item,Denial of Service,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Difficult Violative Requests,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Direct Misuse,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Direct Deception,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Disallowed Content,risk,Inconsistent,0.3895,0.2978,0.2,0.6706,1,16
item,Disallowed Multimodal Input,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Disallowed Text-Image Content,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Discrimination,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Discrimination And Prejudice,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Discrimination Based on Protected Traits,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Discriminatory Content,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Discriminatory Bias,risk,Inconsistent,0.2772,0.1066,0.2,0.525,1,3
item,Dishonest Reporting,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Disinformation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Disinformation Campaigns,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Disparate Group Impacts,risk,Inconsistent,0.1047,0.1544,0.0318,0.1279,2,2
item,Distraction,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Distributional Shift Robustness,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Dual Use,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Dual-Use Benign Requests,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Dual-Use Cyber Behavior,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Dual-Use Potential,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Dual-Use Weapons Development,risk,Inconsistent,0.2695,0.0919,0.2,0.5167,1,2
item,Eating Disorders,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Economic Inequality,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Economically Valuable Tasks,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Egregious Failures,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Election Advertising,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Election Influence Operations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Emerging Risks,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Emotional Dependence,risk,Inconsistent,0.1801,0.1066,0.2,0.2335,1,3
item,Emotional Intelligence,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Emotional Reliance,risk,Inconsistent,0.2084,0.136,0.2,0.2892,1,5
item,Emotional Support,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Employment Discrimination,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Employment Fraud,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Encoding,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Epistemic Autonomy,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Erotic Content,risk,Inconsistent,0.2618,0.1654,0.2,0.4199,1,7
item,Erotic Violent Content,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Erratic Behavior,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Errors,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Escalation Requests,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Evaluation Awareness,risk,Inconsistent,0.2943,0.261,0.3129,0.3088,3,5
item,Evasion,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Evasive Malicious PDFs,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Evolving Threats,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Excessive Agency,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Excessive Safety Constraints,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Execution Errors,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Expert Planning Facilitation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Explicit Content,risk,Inconsistent,0.1659,0.0919,0.2,0.2057,1,2
item,Explicit Sexual Content,risk,Inconsistent,0.405,0.1949,0.2,0.82,1,9
item,Exploitation of Minors,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Expressing Uncertainty,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,External Comparisons,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,External Evaluations,virtue,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,External Red Teaming,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,External Security Testing,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,External Testing,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Extremist Content,risk,Inconsistent,0.2226,0.1507,0.2,0.3171,1,6
item,Extremist Support,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Fabrication,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Fact Discrimination,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Factual Accuracy,risk,Inconsistent,0.2268,0.3235,0.0738,0.2831,4,5
item,Factual Errors,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Factual Hallucinations,risk,Inconsistent,0.1659,0.0919,0.2,0.2057,1,2
item,Factual Inaccuracies,risk,Inconsistent,0.1659,0.0919,0.2,0.2057,1,2
item,Factual Reliability,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Factuality,virtue,Inconsistent,0.2027,0.2463,0.1444,0.2173,3,4
item,Failures And Abuses,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Fairness,virtue,Inconsistent,0.1422,0.1544,0.1443,0.1279,2,2
item,Fairness and Inclusion,virtue,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Fairness Evaluation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Faithfulness,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,False Information,risk,Inconsistent,0.1325,0.1544,0.0,0.2431,2,2
item,False Positive Refusals,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,False Premises,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,False Refusals,risk,Inconsistent,0.3695,0.0919,0.2,0.8167,1,2
item,False Task Completion Claims,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Feedback,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Fraud,risk,Inconsistent,0.1186,0.1544,0.0,0.2014,2,2
item,Fraud And Abuse,risk,Inconsistent,0.2272,0.1544,0.3092,0.2181,2,2
item,Fraud And Illegal Activity,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Fraud and Scams,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Frequent Hallucinations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Frontier Safety,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Gain-of-Function Sequences,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Gender and Racial Bias,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Gender and Skin Tone Bias,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Gender-Occupation Stereotypes,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
