unit,company,name,kind,risk_or_virtue_constancy,risk_or_virtue_constancy_score,risk_virtue_definition_similarity,risk_virtue_document_recurrence,risk_virtue_temporal_persistence,distinct_documents,years
item,Anthropic,Hallucinations,risk,Variable,0.2046,0.055,0.5,0.5,2,2024 2026
item,Anthropic,Harmful Content,risk,Variable,0.435,0.2057,0.75,0.75,3,2023 2025 2026
item,Anthropic,Harmful Multi-Turn Scenarios,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Harmful Outputs,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Harmful Third-Party Content,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Harmful Use Compliance,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Harmless Responses,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Harmlessness,virtue,Constant,0.5521,0.1159,1.0,0.75,4,2023 2025 2026
item,Anthropic,Hate And Discrimination,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Hate Speech,risk,Variable,0.1877,0.0,0.5,0.5,2,2023 2024
item,Anthropic,"Helpful, Honest, Harmless",virtue,Constant,0.6137,0.7778,0.75,0.5,3,2025 2026
item,Anthropic,Helpfulness,virtue,Variable,0.4025,0.1217,0.75,0.75,3,2023 2025 2026
item,Anthropic,"Helpfulness, Honesty, Harmlessness",virtue,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Hidden Goals,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Hidden Reasoning,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,High-Agency Behavior,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,High-Stakes Misalignment,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Honesty,virtue,Variable,0.4279,0.1873,0.75,0.75,3,2023 2025 2026
item,Anthropic,Human Extinction,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Human Impersonation,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Illegal Activity Assistance,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Illegal Discrimination,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Illegitimate Power Seizure,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Incorrect Refusals,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Indirect Prompt Injection,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Jailbreaks,risk,Variable,0.3737,0.0474,0.75,0.75,3,2023 2025 2026
item,Anthropic,Jailbreak Benchmarks,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Knowing Hallucinations,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Knowingly False Assertions,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Lab Bench,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Long-Form Virology,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Malicious Code Use,risk,Variable,0.4112,0.7275,0.5,0.5,2,2025 2026
item,Anthropic,Malicious Coding Use,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Malicious Computer Use,risk,Constant,0.5833,0.2962,1.0,0.5,4,2025 2026
item,Anthropic,Malicious Use,risk,Variable,0.3649,0.136,0.75,0.5,3,2024 2025
item,Anthropic,Mass Casualty CBRN Uplift,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Mass Content Distribution,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Misaligned Behavior,risk,Constant,0.4949,1.0,0.5,0.5,2,2025 2026
item,Anthropic,Misalignment,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Misinformation,risk,Variable,0.1658,0.0397,0.5,0.25,2,2023
item,Anthropic,Misuse,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Model Weight Protection,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Multi-Turn Testing,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Multilingual Hallucinations,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Non-Manipulation,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Novel Severe Threats,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Over-Refusal,risk,Constant,0.6568,1.0,0.75,0.25,3,2025
item,Anthropic,Overly Agentic GUI Use,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Policy Compliance,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Political Bias,risk,Constant,0.6205,0.3789,1.0,0.5,6,2025 2026
item,Anthropic,Popular Falsehoods,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Potentially Harmful Responses,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Privacy,risk,Variable,0.1944,0.1328,0.5,0.25,2,2026
item,Anthropic,Pro-AI Bias,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Prompt Injection,risk,Constant,0.6308,0.2906,1.0,0.75,7,2024 2025 2026
item,Anthropic,Protected Class Stereotyping,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Psychological Manipulation,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,QA Bias Benchmarks,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Racism Or Sexism,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Radiological And Nuclear Risks,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Reasoning Faithfulness,virtue,Variable,0.209,0.1803,0.5,0.25,2,2025
item,Anthropic,Refusals,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Refusal Compliance,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Response Safety,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Reward Hacking,risk,Constant,0.6304,0.4008,1.0,0.5,5,2025 2026
item,Anthropic,Sabotage,risk,Variable,0.3374,0.1761,0.75,0.25,3,2025
item,Anthropic,Safe Behavior,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Safe Development And Deployment,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Sandbagging,risk,Variable,0.1536,0.0,0.5,0.25,2,2025
item,Anthropic,Scaled Account Creation,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Self-Preference Bias,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Self-Preservation,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Self-Serving Bias,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Severe Harm,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Simple QA,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Stereotype Bias,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Strategic Rare Behaviors,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Subtle Harmful Actions,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Subtle Sabotage,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Suicide and Self-Harm,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,SWE-Bench Verified,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Sycophancy,risk,Constant,0.4961,0.1023,1.0,0.5,4,2025 2026
item,Anthropic,Systematic Deception,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Teaching to the Test,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Third-Party Terms Breaches,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Toxic Outputs,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Training Data Contamination,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Transparency,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Undermining Oversight,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Unhelpful Refusals,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,User Deception,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Value Reinforcement,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Violative Request Evaluations,risk,Variable,0.2328,0.2579,0.5,0.25,2,2026
item,Anthropic,Violence,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Violent Extremism,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,DeepSeek,Accuracy And Correctness,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Alignment Effects,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Alignment Tax,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Alignment with Human Preferences,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Bias,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Children's Personal Data,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Coding Helpfulness,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Criminal Offences,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Dangerous Purposes,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Discrimination And Prejudice,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Discriminatory Content,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Excessive Safety Constraints,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Exploitation of Minors,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Factual Accuracy,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Factual Reliability,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Factuality,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,False Information,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Fraud And Illegal Activity,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Hallucinated Responses,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Hallucinations,risk,Variable,0.36,0.5052,0.6667,0.3333,2,2024
item,DeepSeek,Harassment And Bullying,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Harmful Content,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Harmlessness,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Helpfulness,virtue,Variable,0.2503,0.0,0.6667,0.6667,2,2024 2025
item,DeepSeek,Honesty,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Human Preferences,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Illegal Activities,risk,Variable,0.2899,0.1291,0.6667,0.6667,2,2024 2026
item,DeepSeek,Illegal Content Filtering,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Impersonation,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Inaccurate AI Content,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Inaccurate Information,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Instruction Following,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Instruction-Following Gaps,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Intellectual Property Infringement,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Jailbreaks,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Language Consistency,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Language Mixing,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Length Reward Models,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Model Training And Improvement,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Other Safety Issues,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Policy Drift,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Practical Helpfulness,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Privacy Rights Infringement,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Re-Identification,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Reasoning Capabilities,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Reasoning Retention,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Regional Cultural Bias,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Reward Hacking,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2025
item,DeepSeek,Safety,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Safety Mechanisms,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Sensitive Personal Data,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Service Security Endangerment,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Sexually Explicit Content,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,DeepSeek,Unbiased Behavior,virtue,Variable,0.1371,0.3,0.3333,0.3333,1,2024
item,DeepSeek,Violence or Extremism Content,risk,Variable,0.1371,0.3,0.3333,0.3333,1,2026
item,Google,Abuse Potential,risk,Variable,0.0926,0.3,0.1143,0.2,1,2016
item,Google,Academic Safety Benchmarks,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Access to Harmful Goods and Services,risk,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,Adversarial Robustness,risk,Variable,0.242,0.18,0.3429,0.4,3,2024 2025
item,Google,AI Risk Mitigation,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,AI Cyber Incidents,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,AI R&D,risk,Variable,0.1028,0.0679,0.2286,0.2,2,2025
item,Google,AI Security Risks,risk,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,Alignment Behaviors,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Attribution,virtue,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Benchmark Compliance,virtue,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Bias,risk,Variable,0.2933,0.0295,0.4571,0.6,4,2016 2023 2025
item,Google,Bias and Fairness,risk,Variable,0.1229,0.0445,0.2286,0.4,2,2024 2025
item,Google,Bias and Stereotyping,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Bias Perpetuation,risk,Variable,0.4164,1.0,0.2286,0.4,2,2025 2026
item,Google,Biosecurity Risks,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Business Risk,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,CBRNE,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,CBRN,risk,Variable,0.427,0.2377,0.6857,0.4,6,2024 2025
item,Google,CBRN Knowledge,risk,Variable,0.2152,0.4339,0.2286,0.2,2,2024
item,Google,Chemical Expertise,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Child Safety,risk,Variable,0.4027,0.3616,0.5714,0.2,5,2025
item,Google,Child Sexual Abuse,risk,Constant,0.6918,0.4929,1.0,0.6,13,2024 2025 2026
item,Google,CSAM Filtering,risk,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,Compliance,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Content Safety,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Content Policy Violations,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Content Safety Policies,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Contrary Medical Advice,risk,Variable,0.3015,0.6261,0.2286,0.4,2,2024 2025
item,Google,Copyright Balance,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Copyright Infringement,risk,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,Critical Capability Misuse,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Cyber Capabilities,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Cyber Attack Enablement,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Cyber Autonomy Level 1,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Cybersecurity,risk,Variable,0.3535,0.0744,0.6857,0.4,6,2016 2025
item,Google,Dangerous Capabilities,risk,Variable,0.2418,0.0906,0.3429,0.6,3,2024 2025 2026
item,Google,Dangerous Advice,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Dangerous Images,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Dangerous Substances,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Data Exfiltration,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Data Memorization,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Data Poisoning,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Deceptive Alignment,risk,Variable,0.345,0.3222,0.4571,0.2,4,2025
item,Google,Deepfakes,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Denial of Service,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Disparate Group Impacts,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Distributional Shift Robustness,risk,Variable,0.0926,0.3,0.1143,0.2,1,2016
item,Google,Election Advertising,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Emerging Risks,risk,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,Employment Discrimination,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Evolving Threats,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Explicit Sexual Content,risk,Constant,0.7781,0.6846,1.0,0.6,9,2024 2025 2026
item,Google,External Evaluations,virtue,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Factual Accuracy,risk,Variable,0.1083,0.0857,0.2286,0.2,2,2026
item,Google,Factuality,virtue,Variable,0.1133,0.1021,0.2286,0.2,2,2025
item,Google,Fairness,virtue,Variable,0.0926,0.3,0.1143,0.2,1,2026
item,Google,False Information,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Fraud,risk,Variable,0.0926,0.3,0.1143,0.2,1,2024
item,Google,Frontier Safety,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Gender and Skin Tone Bias,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,General Risks,risk,Variable,0.1092,0.0,0.2286,0.4,2,2024 2026
item,Google,Geographic Performance Disparities,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Goal Misgeneralization,risk,Variable,0.0926,0.3,0.1143,0.2,1,2025
item,Google,Hallucinations,risk,Constant,0.6837,0.4748,1.0,0.6,12,2023 2024 2025
item,Google,Harassment,risk,Constant,0.6524,0.4054,1.0,0.6,11,2024 2025 2026
